X,CH1,CH2,
Second,Volt,Volt,
-6.00000e-05,1.60e-01,8.60e+00,
-5.98000e-05,1.60e-01,8.40e+00,
-5.96000e-05,1.60e-01,8.40e+00,
-5.94000e-05,5.84e+00,8.60e+00,
-5.92000e-05,5.60e+00,8.60e+00,
-5.90000e-05,5.52e+00,5.00e+00,
-5.88000e-05,5.52e+00,2.00e+00,
-5.86000e-05,5.60e+00,-7.20e+00,
-5.84000e-05,5.60e+00,-7.60e+00,
-5.82000e-05,5.52e+00,-8.80e+00,
-5.80000e-05,5.52e+00,-8.80e+00,
-5.78000e-05,5.60e+00,-9.20e+00,
-5.76000e-05,5.52e+00,-9.00e+00,
-5.74000e-05,5.52e+00,-9.20e+00,
-5.72000e-05,5.52e+00,-9.00e+00,
-5.70000e-05,5.52e+00,-9.00e+00,
-5.68000e-05,5.52e+00,-9.00e+00,
-5.66000e-05,5.52e+00,-8.80e+00,
-5.64000e-05,5.52e+00,-8.80e+00,
-5.62000e-05,5.44e+00,-9.00e+00,
-5.60000e-05,5.52e+00,-9.00e+00,
-5.58000e-05,5.44e+00,-8.80e+00,
-5.56000e-05,5.52e+00,-8.80e+00,
-5.54000e-05,5.44e+00,-9.00e+00,
-5.52000e-05,5.44e+00,-8.80e+00,
-5.50000e-05,5.52e+00,-9.00e+00,
-5.48000e-05,5.44e+00,-8.80e+00,
-5.46000e-05,5.52e+00,-9.00e+00,
-5.44000e-05,5.44e+00,-8.80e+00,
-5.42000e-05,5.52e+00,-9.00e+00,
-5.40000e-05,5.44e+00,-9.00e+00,
-5.38000e-05,5.52e+00,-8.80e+00,
-5.36000e-05,5.52e+00,-8.80e+00,
-5.34000e-05,5.44e+00,-9.00e+00,
-5.32000e-05,5.52e+00,-9.00e+00,
-5.30000e-05,5.44e+00,-8.80e+00,
-5.28000e-05,5.44e+00,-8.80e+00,
-5.26000e-05,5.52e+00,-9.00e+00,
-5.24000e-05,5.44e+00,-8.80e+00,
-5.22000e-05,5.52e+00,-9.00e+00,
-5.20000e-05,5.52e+00,-8.80e+00,
-5.18000e-05,5.44e+00,-9.00e+00,
-5.16000e-05,5.44e+00,-8.80e+00,
-5.14000e-05,5.44e+00,-9.00e+00,
-5.12000e-05,5.44e+00,-9.00e+00,
-5.10000e-05,5.52e+00,-8.80e+00,
-5.08000e-05,5.44e+00,-8.80e+00,
-5.06000e-05,5.52e+00,-9.00e+00,
-5.04000e-05,5.44e+00,-8.80e+00,
-5.02000e-05,5.52e+00,-9.00e+00,
-5.00000e-05,5.44e+00,-8.80e+00,
-4.98000e-05,5.52e+00,-9.00e+00,
-4.96000e-05,5.44e+00,-8.80e+00,
-4.94000e-05,-7.99e-02,-9.00e+00,
-4.92000e-05,7.99e-02,-7.60e+00,
-4.90000e-05,0.00e+00,8.20e+00,
-4.88000e-05,0.00e+00,8.40e+00,
-4.86000e-05,7.99e-02,8.80e+00,
-4.84000e-05,0.00e+00,8.80e+00,
-4.82000e-05,7.99e-02,8.60e+00,
-4.80000e-05,7.99e-02,8.80e+00,
-4.78000e-05,0.00e+00,8.60e+00,
-4.76000e-05,7.99e-02,8.60e+00,
-4.74000e-05,7.99e-02,8.80e+00,
-4.72000e-05,7.99e-02,8.60e+00,
-4.70000e-05,7.99e-02,8.80e+00,
-4.68000e-05,7.99e-02,8.60e+00,
-4.66000e-05,7.99e-02,8.40e+00,
-4.64000e-05,7.99e-02,8.60e+00,
-4.62000e-05,1.60e-01,8.60e+00,
-4.60000e-05,1.60e-01,8.60e+00,
-4.58000e-05,7.99e-02,8.60e+00,
-4.56000e-05,7.99e-02,8.60e+00,
-4.54000e-05,1.60e-01,8.40e+00,
-4.52000e-05,1.60e-01,8.40e+00,
-4.50000e-05,7.99e-02,8.60e+00,
-4.48000e-05,1.60e-01,8.40e+00,
-4.46000e-05,7.99e-02,8.60e+00,
-4.44000e-05,1.60e-01,8.40e+00,
-4.42000e-05,7.99e-02,8.60e+00,
-4.40000e-05,1.60e-01,8.60e+00,
-4.38000e-05,7.99e-02,8.40e+00,
-4.36000e-05,1.60e-01,8.60e+00,
-4.34000e-05,1.60e-01,8.40e+00,
-4.32000e-05,1.60e-01,8.60e+00,
-4.30000e-05,7.99e-02,8.40e+00,
-4.28000e-05,1.60e-01,8.40e+00,
-4.26000e-05,7.99e-02,8.60e+00,
-4.24000e-05,1.60e-01,8.40e+00,
-4.22000e-05,1.60e-01,8.60e+00,
-4.20000e-05,1.60e-01,8.40e+00,
-4.18000e-05,7.99e-02,8.60e+00,
-4.16000e-05,1.60e-01,8.60e+00,
-4.14000e-05,7.99e-02,8.40e+00,
-4.12000e-05,1.60e-01,8.40e+00,
-4.10000e-05,1.60e-01,8.60e+00,
-4.08000e-05,1.60e-01,8.40e+00,
-4.06000e-05,1.60e-01,8.60e+00,
-4.04000e-05,1.60e-01,8.60e+00,
-4.02000e-05,1.60e-01,8.40e+00,
-4.00000e-05,1.60e-01,8.60e+00,
-3.98000e-05,1.60e-01,8.40e+00,
-3.96000e-05,1.60e-01,8.60e+00,
-3.94000e-05,5.84e+00,8.40e+00,
-3.92000e-05,5.60e+00,8.40e+00,
-3.90000e-05,5.52e+00,-3.00e+00,
-3.88000e-05,5.52e+00,-4.40e+00,
-3.86000e-05,5.60e+00,-8.40e+00,
-3.84000e-05,5.52e+00,-8.40e+00,
-3.82000e-05,5.60e+00,-9.20e+00,
-3.80000e-05,5.52e+00,-9.00e+00,
-3.78000e-05,5.52e+00,-9.20e+00,
-3.76000e-05,5.52e+00,-9.00e+00,
-3.74000e-05,5.52e+00,-9.20e+00,
-3.72000e-05,5.52e+00,-9.00e+00,
-3.70000e-05,5.52e+00,-9.00e+00,
-3.68000e-05,5.52e+00,-8.80e+00,
-3.66000e-05,5.44e+00,-9.00e+00,
-3.64000e-05,5.52e+00,-9.00e+00,
-3.62000e-05,5.44e+00,-9.00e+00,
-3.60000e-05,5.52e+00,-8.80e+00,
-3.58000e-05,5.52e+00,-9.00e+00,
-3.56000e-05,5.52e+00,-9.00e+00,
-3.54000e-05,5.44e+00,-8.80e+00,
-3.52000e-05,5.52e+00,-8.80e+00,
-3.50000e-05,5.44e+00,-9.00e+00,
-3.48000e-05,5.44e+00,-8.80e+00,
-3.46000e-05,5.52e+00,-9.00e+00,
-3.44000e-05,5.52e+00,-9.00e+00,
-3.42000e-05,5.44e+00,-8.80e+00,
-3.40000e-05,5.52e+00,-8.80e+00,
-3.38000e-05,5.44e+00,-9.00e+00,
-3.36000e-05,5.44e+00,-8.80e+00,
-3.34000e-05,5.52e+00,-9.00e+00,
-3.32000e-05,5.44e+00,-8.80e+00,
-3.30000e-05,5.52e+00,-9.00e+00,
-3.28000e-05,5.52e+00,-8.80e+00,
-3.26000e-05,5.44e+00,-9.00e+00,
-3.24000e-05,5.44e+00,-8.80e+00,
-3.22000e-05,5.52e+00,-9.00e+00,
-3.20000e-05,5.52e+00,-8.80e+00,
-3.18000e-05,5.44e+00,-9.00e+00,
-3.16000e-05,5.44e+00,-9.00e+00,
-3.14000e-05,5.52e+00,-8.80e+00,
-3.12000e-05,5.44e+00,-8.80e+00,
-3.10000e-05,5.52e+00,-9.00e+00,
-3.08000e-05,5.52e+00,-8.80e+00,
-3.06000e-05,5.44e+00,-9.00e+00,
-3.04000e-05,5.44e+00,-8.80e+00,
-3.02000e-05,5.52e+00,-9.00e+00,
-3.00000e-05,5.52e+00,-9.00e+00,
-2.98000e-05,5.44e+00,-8.80e+00,
-2.96000e-05,5.44e+00,-9.00e+00,
-2.94000e-05,-7.99e-02,2.40e+00,
-2.92000e-05,0.00e+00,4.40e+00,
-2.90000e-05,7.99e-02,8.60e+00,
-2.88000e-05,0.00e+00,8.60e+00,
-2.86000e-05,7.99e-02,8.80e+00,
-2.84000e-05,7.99e-02,8.80e+00,
-2.82000e-05,0.00e+00,8.60e+00,
-2.80000e-05,7.99e-02,8.60e+00,
-2.78000e-05,7.99e-02,8.80e+00,
-2.76000e-05,7.99e-02,8.60e+00,
-2.74000e-05,7.99e-02,8.80e+00,
-2.72000e-05,7.99e-02,8.60e+00,
-2.70000e-05,7.99e-02,8.80e+00,
-2.68000e-05,7.99e-02,8.60e+00,
-2.66000e-05,1.60e-01,8.60e+00,
-2.64000e-05,7.99e-02,8.60e+00,
-2.62000e-05,1.60e-01,8.40e+00,
-2.60000e-05,7.99e-02,8.60e+00,
-2.58000e-05,1.60e-01,8.40e+00,
-2.56000e-05,1.60e-01,8.60e+00,
-2.54000e-05,7.99e-02,8.40e+00,
-2.52000e-05,1.60e-01,8.60e+00,
-2.50000e-05,7.99e-02,8.40e+00,
-2.48000e-05,1.60e-01,8.60e+00,
-2.46000e-05,7.99e-02,8.40e+00,
-2.44000e-05,1.60e-01,8.60e+00,
-2.42000e-05,7.99e-02,8.40e+00,
-2.40000e-05,7.99e-02,8.40e+00,
-2.38000e-05,1.60e-01,8.60e+00,
-2.36000e-05,1.60e-01,8.40e+00,
-2.34000e-05,1.60e-01,8.60e+00,
-2.32000e-05,1.60e-01,8.60e+00,
-2.30000e-05,1.60e-01,8.40e+00,
-2.28000e-05,1.60e-01,8.60e+00,
-2.26000e-05,7.99e-02,8.40e+00,
-2.24000e-05,1.60e-01,8.60e+00,
-2.22000e-05,7.99e-02,8.40e+00,
-2.20000e-05,1.60e-01,8.40e+00,
-2.18000e-05,7.99e-02,8.60e+00,
-2.16000e-05,1.60e-01,8.40e+00,
-2.14000e-05,1.60e-01,8.60e+00,
-2.12000e-05,1.60e-01,8.40e+00,
-2.10000e-05,1.60e-01,8.60e+00,
-2.08000e-05,1.60e-01,8.40e+00,
-2.06000e-05,1.60e-01,8.60e+00,
-2.04000e-05,1.60e-01,8.40e+00,
-2.02000e-05,1.60e-01,8.60e+00,
-2.00000e-05,1.60e-01,8.60e+00,
-1.98000e-05,5.84e+00,8.40e+00,
-1.96000e-05,5.52e+00,8.60e+00,
-1.94000e-05,5.60e+00,7.80e+00,
-1.92000e-05,5.52e+00,5.60e+00,
-1.90000e-05,5.60e+00,-6.00e+00,
-1.88000e-05,5.52e+00,-6.80e+00,
-1.86000e-05,5.60e+00,-8.60e+00,
-1.84000e-05,5.52e+00,-8.80e+00,
-1.82000e-05,5.52e+00,-9.20e+00,
-1.80000e-05,5.52e+00,-9.00e+00,
-1.78000e-05,5.52e+00,-9.20e+00,
-1.76000e-05,5.52e+00,-9.00e+00,
-1.74000e-05,5.52e+00,-8.80e+00,
-1.72000e-05,5.52e+00,-8.80e+00,
-1.70000e-05,5.52e+00,-9.20e+00,
-1.68000e-05,5.52e+00,-8.80e+00,
-1.66000e-05,5.44e+00,-9.20e+00,
-1.64000e-05,5.52e+00,-9.00e+00,
-1.62000e-05,5.44e+00,-8.80e+00,
-1.60000e-05,5.52e+00,-8.80e+00,
-1.58000e-05,5.44e+00,-9.00e+00,
-1.56000e-05,5.44e+00,-8.80e+00,
-1.54000e-05,5.52e+00,-9.00e+00,
-1.52000e-05,5.52e+00,-9.00e+00,
-1.50000e-05,5.44e+00,-8.80e+00,
-1.48000e-05,5.52e+00,-8.80e+00,
-1.46000e-05,5.44e+00,-9.00e+00,
-1.44000e-05,5.52e+00,-8.80e+00,
-1.42000e-05,5.44e+00,-9.00e+00,
-1.40000e-05,5.44e+00,-8.80e+00,
-1.38000e-05,5.52e+00,-9.00e+00,
-1.36000e-05,5.44e+00,-8.80e+00,
-1.34000e-05,5.52e+00,-9.00e+00,
-1.32000e-05,5.44e+00,-8.80e+00,
-1.30000e-05,5.52e+00,-9.00e+00,
-1.28000e-05,5.52e+00,-8.80e+00,
-1.26000e-05,5.44e+00,-9.00e+00,
-1.24000e-05,5.44e+00,-9.00e+00,
-1.22000e-05,5.52e+00,-8.80e+00,
-1.20000e-05,5.44e+00,-8.80e+00,
-1.18000e-05,5.52e+00,-9.00e+00,
-1.16000e-05,5.44e+00,-8.80e+00,
-1.14000e-05,5.52e+00,-9.00e+00,
-1.12000e-05,5.44e+00,-8.80e+00,
-1.10000e-05,5.44e+00,-9.00e+00,
-1.08000e-05,5.44e+00,-9.00e+00,
-1.06000e-05,5.44e+00,-8.80e+00,
-1.04000e-05,5.44e+00,-8.80e+00,
-1.02000e-05,5.44e+00,-9.00e+00,
-1.00000e-05,5.52e+00,-9.00e+00,
-9.80000e-06,8.00e-01,-8.80e+00,
-9.60000e-06,-7.99e-02,-8.80e+00,
-9.40000e-06,7.99e-02,7.40e+00,
-9.20000e-06,0.00e+00,7.80e+00,
-9.00000e-06,0.00e+00,8.80e+00,
-8.80000e-06,0.00e+00,8.80e+00,
-8.60000e-06,7.99e-02,8.60e+00,
-8.40000e-06,7.99e-02,8.60e+00,
-8.20000e-06,0.00e+00,8.80e+00,
-8.00000e-06,0.00e+00,8.80e+00,
-7.80000e-06,7.99e-02,8.60e+00,
-7.60000e-06,7.99e-02,8.60e+00,
-7.40000e-06,7.99e-02,8.60e+00,
-7.20000e-06,7.99e-02,8.60e+00,
-7.00000e-06,7.99e-02,8.60e+00,
-6.80000e-06,7.99e-02,8.60e+00,
-6.60000e-06,1.60e-01,8.60e+00,
-6.40000e-06,1.60e-01,8.80e+00,
-6.20000e-06,7.99e-02,8.40e+00,
-6.00000e-06,1.60e-01,8.60e+00,
-5.80000e-06,7.99e-02,8.40e+00,
-5.60000e-06,1.60e-01,8.40e+00,
-5.40000e-06,7.99e-02,8.60e+00,
-5.20000e-06,1.60e-01,8.40e+00,
-5.00000e-06,7.99e-02,8.60e+00,
-4.80000e-06,1.60e-01,8.40e+00,
-4.60000e-06,7.99e-02,8.60e+00,
-4.40000e-06,1.60e-01,8.40e+00,
-4.20000e-06,1.60e-01,8.60e+00,
-4.00000e-06,7.99e-02,8.40e+00,
-3.80000e-06,1.60e-01,8.60e+00,
-3.60000e-06,1.60e-01,8.40e+00,
-3.40000e-06,7.99e-02,8.60e+00,
-3.20000e-06,1.60e-01,8.40e+00,
-3.00000e-06,1.60e-01,8.60e+00,
-2.80000e-06,1.60e-01,8.40e+00,
-2.60000e-06,7.99e-02,8.60e+00,
-2.40000e-06,1.60e-01,8.60e+00,
-2.20000e-06,7.99e-02,8.40e+00,
-2.00000e-06,1.60e-01,8.60e+00,
-1.80000e-06,1.60e-01,8.40e+00,
-1.60000e-06,1.60e-01,8.60e+00,
-1.40000e-06,7.99e-02,8.40e+00,
